Epoch,Training Loss,Validation Loss
1,423.9554748535156,408.1884765625
2,397.2213439941406,403.5254821777344
3,376.53289794921875,367.5074462890625
4,355.9952697753906,323.53814697265625
5,335.39202880859375,282.4523620605469
6,306.1168212890625,255.47779846191406
7,273.90032958984375,280.5317077636719
8,238.58493041992188,228.74769592285156
9,206.0974884033203,205.76174926757812
10,168.72276306152344,206.896728515625
11,144.5072784423828,170.11106872558594
12,119.09366607666016,243.5740509033203
13,102.19584655761719,134.81919860839844
14,88.18466186523438,110.47644805908203
15,80.92201232910156,78.03411102294922
16,74.37770080566406,45.219810485839844
17,69.05010986328125,110.10431671142578
18,67.7623291015625,91.49413299560547
19,64.86943817138672,44.971073150634766
20,64.50746154785156,44.51772689819336
21,62.508853912353516,52.09286880493164
22,61.83704376220703,40.8264045715332
23,58.738033294677734,55.47798156738281
24,59.15565490722656,57.23732376098633
25,56.90394973754883,37.76023864746094
26,56.136940002441406,52.99724578857422
27,55.002845764160156,54.25141906738281
28,55.05048370361328,38.63040542602539
29,54.04206085205078,42.22835922241211
30,54.046905517578125,35.06499481201172
31,52.19790267944336,41.125999450683594
32,51.30189895629883,33.849143981933594
33,50.74439239501953,34.03544616699219
34,49.80887985229492,42.464805603027344
35,49.26211166381836,39.66497039794922
36,48.52043914794922,32.55998611450195
37,48.212100982666016,39.15184020996094
38,46.78581237792969,36.7446174621582
39,44.79624557495117,33.47650146484375
40,45.88626480102539,42.06671142578125
41,44.85752487182617,44.91117858886719
42,44.2933235168457,45.324913024902344
43,42.71394729614258,36.27621078491211
44,42.93732833862305,31.489011764526367
45,42.245643615722656,28.223289489746094
46,42.9294319152832,33.925621032714844
47,40.440006256103516,27.648883819580078
48,41.919437408447266,27.920804977416992
49,38.963775634765625,27.04121971130371
50,39.996822357177734,26.70832633972168
51,41.091346740722656,27.805559158325195
52,38.76170349121094,25.933658599853516
53,38.607059478759766,25.635089874267578
54,38.07571029663086,26.944581985473633
55,38.45926284790039,25.058090209960938
56,37.04828643798828,27.531862258911133
57,37.77094268798828,26.431659698486328
58,36.1590576171875,27.016321182250977
59,38.266754150390625,28.304407119750977
60,36.694549560546875,29.812952041625977
61,36.23748016357422,29.42344856262207
62,36.06285095214844,25.896596908569336
63,35.996009826660156,24.7222900390625
64,35.03295135498047,26.116132736206055
65,34.18926239013672,26.871145248413086
66,35.02174758911133,25.32704734802246
67,34.05329895019531,26.199377059936523
68,33.60744857788086,22.52604866027832
69,33.22380447387695,22.13151741027832
70,33.409305572509766,23.220073699951172
71,32.56960678100586,22.07965660095215
72,33.675174713134766,22.907745361328125
73,33.51802444458008,21.802698135375977
74,33.13237380981445,22.085737228393555
75,32.47859191894531,22.037961959838867
76,31.824256896972656,22.3866024017334
77,32.001625061035156,23.665273666381836
78,32.60955047607422,21.746458053588867
79,30.9163875579834,20.021324157714844
80,32.08974838256836,21.95760154724121
81,30.687419891357422,21.414875030517578
82,30.684328079223633,21.735097885131836
83,31.450918197631836,21.068317413330078
84,29.677228927612305,20.307363510131836
85,30.37230110168457,20.054323196411133
86,29.304264068603516,18.44132423400879
87,30.596466064453125,18.55512046813965
88,29.519268035888672,18.85905647277832
89,29.185325622558594,18.535747528076172
90,29.359426498413086,18.856576919555664
91,28.82498550415039,18.043663024902344
92,29.11742401123047,17.89246368408203
93,27.991453170776367,18.433290481567383
94,27.90303611755371,17.73918914794922
95,27.568706512451172,18.18385887145996
96,28.7622127532959,17.278627395629883
97,28.549070358276367,17.444610595703125
98,27.199283599853516,17.583208084106445
99,28.484699249267578,17.962467193603516
100,28.665767669677734,17.612380981445312
101,27.615758895874023,18.796823501586914
102,27.73908042907715,17.157642364501953
103,26.955358505249023,16.28373908996582
104,27.90210723876953,15.834920883178711
105,26.116514205932617,15.77973747253418
106,26.26093101501465,15.75748062133789
107,26.187955856323242,18.077014923095703
108,25.9329833984375,17.434425354003906
109,26.741018295288086,16.278108596801758
110,25.85500717163086,15.838404655456543
111,26.124683380126953,15.348092079162598
112,26.853492736816406,15.234886169433594
113,25.591838836669922,15.233783721923828
114,25.772926330566406,14.732841491699219
115,25.133005142211914,14.66288948059082
116,25.030332565307617,14.61553955078125
117,25.6914005279541,14.944953918457031
118,25.010404586791992,14.596689224243164
119,24.45257568359375,14.221895217895508
120,24.90796661376953,14.440058708190918
121,25.728116989135742,14.204974174499512
122,24.025114059448242,13.96216869354248
123,25.36542320251465,13.826262474060059
124,24.978849411010742,14.419512748718262
125,25.07343101501465,15.35112476348877
126,26.098596572875977,14.622674942016602
127,24.63930320739746,13.952816009521484
128,23.929237365722656,13.413289070129395
129,23.993179321289062,13.365118026733398
130,23.389436721801758,13.482229232788086
131,23.308547973632812,13.838852882385254
132,23.29640769958496,13.627052307128906
133,22.72005844116211,13.286561965942383
134,23.36203384399414,13.173687934875488
135,23.5145320892334,13.400537490844727
136,23.540668487548828,13.365007400512695
137,23.606246948242188,13.393074035644531
138,23.319543838500977,13.546143531799316
139,23.50098419189453,13.200420379638672
140,22.732437133789062,12.931903839111328
141,24.024944305419922,13.21402645111084
142,22.538419723510742,16.335689544677734
143,22.938066482543945,13.14307975769043
144,23.04656982421875,12.732036590576172
145,23.08455467224121,12.781176567077637
146,22.80787467956543,12.711066246032715
147,22.952007293701172,15.686625480651855
148,22.154664993286133,12.625404357910156
149,21.657203674316406,12.619721412658691
150,22.382953643798828,12.520334243774414
